Datetime,Open,High,Low,Close,Volume,"('Datetime', '')","('Close', 'SOL-USD')","('High', 'SOL-USD')","('Low', 'SOL-USD')","('Open', 'SOL-USD')","('Volume', 'SOL-USD')","('Datetime', '').1","('Close', 'SOL-USD').1","('High', 'SOL-USD').1","('Low', 'SOL-USD').1","('Open', 'SOL-USD').1","('Volume', 'SOL-USD').1","('Datetime', '').2","('Close', 'SOL-USD').2","('High', 'SOL-USD').2","('Low', 'SOL-USD').2","('Open', 'SOL-USD').2","('Volume', 'SOL-USD').2","('Datetime', '').3","('Close', 'SOL-USD').3","('High', 'SOL-USD').3","('Low', 'SOL-USD').3","('Open', 'SOL-USD').3","('Volume', 'SOL-USD').3","('Datetime', '').4","('Close', 'SOL-USD').4","('High', 'SOL-USD').4","('Low', 'SOL-USD').4","('Open', 'SOL-USD').4","('Volume', 'SOL-USD').4","('Datetime', '').5","('Close', 'SOL-USD').5","('High', 'SOL-USD').5","('Low', 'SOL-USD').5","('Open', 'SOL-USD').5","('Volume', 'SOL-USD').5","('Datetime', '').6","('Close', 'SOL-USD').6","('High', 'SOL-USD').6","('Low', 'SOL-USD').6","('Open', 'SOL-USD').6","('Volume', 'SOL-USD').6","('Datetime', '').7","('Close', 'SOL-USD').7","('High', 'SOL-USD').7","('Low', 'SOL-USD').7","('Open', 'SOL-USD').7","('Volume', 'SOL-USD').7","('Datetime', '').8","('Close', 'SOL-USD').8","('High', 'SOL-USD').8","('Low', 'SOL-USD').8","('Open', 'SOL-USD').8","('Volume', 'SOL-USD').8","('Datetime', '').9","('Close', 'SOL-USD').9","('High', 'SOL-USD').9","('Low', 'SOL-USD').9","('Open', 'SOL-USD').9","('Volume', 'SOL-USD').9","('Datetime', '').10","('Close', 'SOL-USD').10","('High', 'SOL-USD').10","('Low', 'SOL-USD').10","('Open', 'SOL-USD').10","('Volume', 'SOL-USD').10","('Datetime', '').11","('Close', 'SOL-USD').11","('High', 'SOL-USD').11","('Low', 'SOL-USD').11","('Open', 'SOL-USD').11","('Volume', 'SOL-USD').11","('Datetime', '').12","('Close', 'SOL-USD').12","('High', 'SOL-USD').12","('Low', 'SOL-USD').12","('Open', 'SOL-USD').12","('Volume', 'SOL-USD').12","('Datetime', '').13","('Close', 'SOL-USD').13","('High', 'SOL-USD').13","('Low', 'SOL-USD').13","('Open', 'SOL-USD').13","('Volume', 'SOL-USD').13","('Datetime', '').14","('Close', 'SOL-USD').14","('High', 'SOL-USD').14","('Low', 'SOL-USD').14","('Open', 'SOL-USD').14","('Volume', 'SOL-USD').14","('Datetime', '').15","('Close', 'SOL-USD').15","('High', 'SOL-USD').15","('Low', 'SOL-USD').15","('Open', 'SOL-USD').15","('Volume', 'SOL-USD').15","('Datetime', '').16","('Close', 'SOL-USD').16","('High', 'SOL-USD').16","('Low', 'SOL-USD').16","('Open', 'SOL-USD').16","('Volume', 'SOL-USD').16","('Datetime', '')","('Close', 'SOL-USD')","('High', 'SOL-USD')","('Low', 'SOL-USD')","('Open', 'SOL-USD')","('Volume', 'SOL-USD')"
2022-06-01 00:00:00,45.74,46.1,45.06,45.97,10268934.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 01:00:00,45.97,46.01,45.47,45.92,4815528.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 02:00:00,45.92,45.92,45.17,45.57,4982976.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 03:00:00,45.57,45.57,44.64,44.76,7277411.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 04:00:00,44.76,44.96,44.33,44.74,11095290.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 05:00:00,44.74,44.87,44.38,44.72,5296019.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 06:00:00,44.72,45.05,44.62,44.89,4477109.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 07:00:00,44.89,45.17,44.49,44.53,5366670.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 08:00:00,44.53,44.93,44.48,44.81,3909296.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 09:00:00,44.81,45.23,44.7,45.2,4656328.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 10:00:00,45.2,45.25,44.75,44.82,5231023.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 11:00:00,44.82,45.05,44.19,44.57,12373868.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 12:00:00,44.57,45.15,44.33,44.91,7615741.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 13:00:00,44.91,45.62,44.78,45.44,12882699.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 14:00:00,45.44,45.61,43.29,43.78,30169832.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 15:00:00,43.78,43.83,42.8,42.91,30653785.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 16:00:00,42.91,43.06,42.58,42.69,24526071.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 17:00:00,42.69,42.71,41.21,41.72,23464311.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 18:00:00,41.72,41.87,41.04,41.13,17635472.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 19:00:00,41.13,41.6,40.73,41.24,22446022.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 20:00:00,41.24,41.31,39.59,40.58,21069167.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 21:00:00,40.58,40.97,40.28,40.36,4908326.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 22:00:00,40.36,40.69,40.07,40.32,11627834.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 23:00:00,40.32,40.73,40.06,40.09,10571934.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 00:00:00,40.09,40.1,39.06,39.62,16171024.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 01:00:00,39.62,40.21,39.51,39.84,10320663.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 02:00:00,39.84,39.99,39.37,39.47,12748537.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 03:00:00,39.47,39.65,38.68,38.78,13854532.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 04:00:00,38.78,39.15,38.66,38.91,12802710.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
